1,E,I am the life of the party.,1
2,A,I feel little concern for others.,-1
3,C,I am always prepared.,1
4,N,I get stressed out easily.,-1
5,O,I have a rich vocabulary.,1
6,E,I don't talk a lot.,-1
7,A,I am interested in people.,1
8,C,I leave my belongings around.,-1
9,N,I am relaxed most of the time.,1
10,O,I have difficulty understanding abstract ideas.,-1
11,E,I feel comfortable around people.,1
12,A,I insult people.,-1
13,C,I pay attention to details.,1
14,N,I worry about things.,-1
15,O,I have a vivid imagination.,1
16,E,I keep in the background.,-1
17,A,I sympathize with others' feelings.,1
18,C,I make a mess of things.,-1
19,N,I seldom feel blue.,1
20,O,I am not interested in abstract ideas.,-1
21,E,I start conversations.,1
22,A,I am not interested in other people's problems.,-1
23,C,I get chores done right away.,1
24,N,I am easily disturbed.,-1
25,O,I have excellent ideas.,1
26,E,I have little to say.,-1
27,A,I have a soft heart.,1
28,C,I often forget to put things back in their proper place.,-1
29,N,I get upset easily.,-1
30,O,I do not have a good imagination.,-1
31,E,I talk to a lot of different people at parties.,1
32,A,I am not really interested in others.,-1
33,C,I like order.,1
34,N,I change my mood a lot.,-1
35,O,I am quick to understand things.,1
36,E,I don't like to draw attention to myself.,-1
37,A,I take time out for others.,1
38,C,I shirk my duties.,-1
39,N,I have frequent mood swings.,-1
40,O,I use difficult words.,1
41,E,I don't mind being the center of attention.,1
42,A,I feel others' emotions.,1
43,C,I follow a schedule.,1
44,N,I get irritated easily.,-1
45,O,I spend time reflecting on things.,1
46,E,I am quiet around strangers.,-1
47,A,I make people feel at ease.,1
48,C,I am exacting in my work.,1
49,N,I often feel blue.,-1
50,O,I am full of ideas.,1