Rank,Title,Artist,Count,
1,Shape of You,Ed Sheeran,"2,038",
2,One Dance,Drake featuring Wizkid and Kyla,"1,621",
3,Closer,The Chainsmokers featuring Halsey,"1,452",
4,rockstar,Post Malone featuring 21 Savage,"1,397",
5,Thinking Out Loud,Ed Sheeran,"1,246",
6,Lean On,Major Lazer and DJ Snake featuring MØ,"1,195",
7,Despacito (Remix),Luis Fonsi and Daddy Yankee featuring Justin Bieber,"1,182",
8,God's Plan,Drake,"1,171",
9,Love Yourself,Justin Bieber,"1,160",
10,Sorry,Justin Bieber,"1,138",
11,Havana,Camila Cabello featuring Young Thug,"1,126",
12,Don't Let Me Down,The Chainsmokers featuring Daya,"1,120",
13,Starboy,The Weeknd featuring Daft Punk,"1,093",
14,I Took a Pill in Ibiza (Seeb Remix),Mike Posner,"1,091",
15,New Rules,Dua Lipa,"1,048",
16,Let Me Love You,DJ Snake featuring Justin Bieber,"1,045",
17,Photograph,Ed Sheeran,"1,039",
18,Say You Won't Let Go,James Arthur,"1,018",
19,Perfect,Ed Sheeran,"1,000",
20,HUMBLE.,Kendrick Lamar,982,
21,Cold Water,Major Lazer featuring Justin Bieber and MØ,982,
22,Something Just Like This,The Chainsmokers and Coldplay,981,
23,Cheap Thrills,Sia,979,
24,What Do You Mean?,Justin Bieber,975,
25,Stressed Out,Twenty One Pilots,964,
26,XO TOUR Llif3,Lil Uzi Vert,962,
27,Uptown Funk,Mark Ronson featuring Bruno Mars,957,
28,Faded,Alan Walker,943,
29,Despacito,Luis Fonsi featuring Daddy Yankee,940,
30,Unforgettable,French Montana featuring Swae Lee,934,
31,Thunder,Imagine Dragons,926,
32,7 Years,Lukas Graham,924,
33,Take Me to Church,Hozier,917,
34,Cheerleader (Felix Jaehn Remix),OMI,913,
35,Believer,Imagine Dragons,898,
36,Congratulations,Post Malone featuring Quavo,896,
37,Stitches,Shawn Mendes,892,
38,Treat You Better,Shawn Mendes,890,
39,Can't Stop the Feeling!,Justin Timberlake,888,
40,This Is What You Came For,Calvin Harris featuring Rihanna,883,
41,Hello,Adele,881,
42,Work from Home,Fifth Harmony featuring Ty Dolla $ign,880,
43,Can't Feel My Face,The Weeknd,880,
44,Stay with Me,Sam Smith,877,
45,All of Me,John Legend,873,
46,Let Her Go,Passenger,867,
47,Work,Rihanna featuring Drake,845,
48,See You Again,Wiz Khalifa featuring Charlie Puth,839,
49,That's What I Like,Bruno Mars,838,
50,I'm the One,"DJ Khaled featuring Justin Bieber, Quavo, Chance the Rapper and Lil Wayne",831,